Key,Source,Context,Changes,English
gunHandgunT3SMG5Desc,items,Gun,New,"This submachine gun uses 9mm ammo.\n\nRepair with a Pistol Repair Kit.\nScrap to Handgun Parts."

gunMGT2TacticalARDesc,items,Gun,New,"This Tactical Assault Rifle uses 7.62mm ammo.\n\nRepair with a Machine Gun Repair Kit.\nScrap to Machine Gun Parts."
gunMGT3M60Desc,items,Gun,New,"Machine guns are somewhat cumbersome to use but excel at automatic fire. This one uses 7.62mm ammo.\n\nRepair with a Machine Gun Repair Kit.\nScrap to Machine Gun Parts."

gunRifleT2MarksmanRifleDesc,items,Gun,New,"This marksman's rifle uses 7.62mm ammo and is your first choice if you want to make that shot count.\n\nRepair with a Rifle Repair Kit.\nScrap to Rifle parts."
gunRifleT3SniperRifleDesc,items,Gun,New,"This high precision, long ranged rifle is perfect for sniping enemies at great distances.\n\nRepair with a Rifle Repair Kit.\nScrap to Rifle parts."

gunShotgunT2PumpShotgunDesc,items,Gun,New,"A long-barreled shotgun with pump action loading .\n\nRepair with a Shotgun Repair Kit.\nScrap to Shotgun Parts."
gunShotgunT3AutoShotgunDesc,items,Gun,New,"This semi automatic shotgun is a rare and devasting short range weapon capable of making minced meat out of anything in its path.\n\nRepair with a Shotgun Repair Kit.\nScrap to Shotgun Parts."



gunBowT3CompoundBowDesc,items,Gun,New,"A compound bow does more damage and arrows fly straighter which makes it easier to aim.\n\nRepair with a Bow Repair Kit.\nScrap to Bow / Crossbow Parts."
gunBowT3CompoundCrossbowDesc,items,Gun,New,"A compound crossbow is slow to reload but does more damage than a crossbow.\nThis weapon can be fired underwater.\nHold reload to use alternate ammo.\nRepair with a Bow Repair Kit.\nScrap to Bow / Crossbow Parts."

gunExplosivesT3RocketLauncherDesc,items,Gun,New,"A Rocket Launcher shoots rocket propelled grenades.\n\nRepair with Rocket Launcher parts.\nScrap to Rocket Launcher parts."

meleeToolAxeT2SteelAxeDesc,items,Tool,New,"The steel axe has a durable blade and is great for harvesting wood.\n\nRepair with a Steel Repair Kit.\nScrap to Steel Tool parts."
meleeToolPickT2SteelPickaxeDesc,items,Tool,New,"The steel pickaxe is best for breaking stone and harvesting minerals.\n\nRepair with a Steel Repair Kit.\nScrap to Steel Tool parts."
meleeToolRepairT3NailgunDesc,items,Tool,New,"The nail gun is the best tool for repairing and upgrading base walls and not a bad weapon to boot if you have nails.\n\nRepair with a Steel Repair Kit.\nScrap to Mechanical parts."
meleeToolShovelT2SteelShovelDesc,items,Tool,New,"The steel shovel is very durable and the ideal tool for digging through earth, sand or snow.\n\nRepair with a Steel Repair Kit.\nScrap to Steel Tool parts."
meleeToolSalvageT2RatchetDesc,items,Tool,New,"Great for disassembling mechanical devices like cars, air conditioners and more.\n\nRepair with a Steel Repair Kit.\nScrap to Steel Tool Parts."

meleeToolSalvageT3ImpactDriverDesc,items,Tool,New,"Great for disassembling mechanical devices like cars, air conditioners and more.\n\nRepair with a Motor Repair Kit.\nScrap to Motor Tool Parts."
meleeToolAxeT3ChainsawDesc,items,Tool,New,"Chop down the biggest trees or zombies faster than Paul Bunyan with this great chainsaw that uses gasoline for fuel.\n\nRepair with a Motor Repair Kit.\nScrap to Motor Tool Parts."
meleeToolPickT3AugerDesc,items,Tool,New,"Rock out with your auger out and be the envy of every miner when they see you sporting this sexy gas-powered auger.\n\nRepair with a Motor Repair Kit.\nScrap to Motor Tool Parts."
smallEngineDesc,items,Tool,New,"A common part for a vehicles or generators.\n\nRepair with a Motor Repair Kit."
